全部,#genre#
CCTV1,http://A/ku9/js/cqyx.js?id=cctv1HD$重庆有线JS
CCTV2,http://A/ku9/js/cqyx.js?id=cctv2HD$重庆有线JS
CCTV3,http://A/ku9/js/cqyx.js?id=cctv3HD$重庆有线JS
CCTV4,http://A/ku9/js/cqyx.js?id=cctv4HD$重庆有线JS
CCTV5,http://A/ku9/js/cqyx.js?id=cctv5HD$重庆有线JS
CCTV5+,http://A/ku9/js/cqyx.js?id=cctv5SportHD$重庆有线JS
CCTV6,http://A/ku9/js/cqyx.js?id=cctv6HD$重庆有线JS
CCTV7,http://A/ku9/js/cqyx.js?id=cctv7HD$重庆有线JS
CCTV8,http://A/ku9/js/cqyx.js?id=cctv8HD$重庆有线JS
CCTV9,http://A/ku9/js/cqyx.js?id=cctv9HD$重庆有线JS
CCTV10,http://A/ku9/js/cqyx.js?id=cctv10HD$重庆有线JS
CCTV11,http://A/ku9/js/cqyx.js?id=cctv11HD$重庆有线JS
CCTV12,http://A/ku9/js/cqyx.js?id=cctv12HD$重庆有线JS
CCTV13,http://A/ku9/js/cqyx.js?id=cctvnewsHD$重庆有线JS
CCTV14,http://A/ku9/js/cqyx.js?id=cctvseHD$重庆有线JS
CCTV15,http://A/ku9/js/cqyx.js?id=cctv15HD$重庆有线JS
CCTV16,http://A/ku9/js/cqyx.js?id=cctv16HD$重庆有线JS
CCTV17,http://A/ku9/js/cqyx.js?id=cctv17HD$重庆有线JS
重庆卫视,http://A/ku9/js/cqyx.js?id=chongqingHD$重庆有线JS
重庆新闻,http://A/ku9/js/cqyx.js?id=CQTVNewsHD$重庆有线JS
重庆影视剧,http://A/ku9/js/cqyx.js?id=cqyingshiHD$重庆有线JS
重庆社会与法,http://A/ku9/js/cqyx.js?id=CQTVTrendyHD$重庆有线JS
重庆红岩文化,http://A/ku9/js/cqyx.js?id=cqssgwHD$重庆有线JS
重庆文体娱乐,http://A/ku9/js/cqyx.js?id=cqwtylHD$重庆有线JS
重庆新农村,http://A/ku9/js/cqyx.js?id=cqggncHD$重庆有线JS
重庆少儿,http://A/ku9/js/cqyx.js?id=cqseHD$重庆有线JS
重庆红叶,http://A/ku9/js/cqyx.js?id=CQTVkejiaoHD$重庆有线JS
爱看导视,http://A/ku9/js/cqyx.js?id=aikanHD$重庆有线JS
重庆汽摩,http://A/ku9/js/cqyx.js?id=cqcarSD$重庆有线JS
重庆移动,http://A/ku9/js/cqyx.js?id=mryyHD$重庆有线JS
重广融媒,http://A/ku9/js/cqyx.js?id=cqrongmei$重庆有线JS
重温经典,http://A/ku9/js/cqyx.js?id=cwjdHD$重庆有线JS
重庆酉阳,http://A/ku9/js/cqyx.js?id=youyang$重庆有线JS
重庆黔江,http://A/ku9/js/cqyx.js?id=qianjiang$重庆有线JS
重庆秀山,http://A/ku9/js/cqyx.js?id=xiushan$重庆有线JS
重庆武隆,http://A/ku9/js/cqyx.js?id=WXZH$重庆有线JS
重庆涪陵,http://A/ku9/js/cqyx.js?id=fulingzh$重庆有线JS
重庆万州,http://A/ku9/js/cqyx.js?id=wanzhouHD$重庆有线JS
重庆璧山,http://A/ku9/js/cqyx.js?id=bishanHD$重庆有线JS
重庆璧山,http://222.179.42.129:8181/hls1.m3u8?zzhongqd
重庆丰都,http://A/ku9/js/cqyx.js?id=FDZH$重庆有线JS
重庆合川,http://A/ku9/js/cqyx.js?id=hechuan$重庆有线JS
重庆开州,http://A/ku9/js/cqyx.js?id=kaizhouHD$重庆有线JS
重庆荣昌,http://A/ku9/js/cqyx.js?id=rongchangHD$重庆有线JS
重庆铜梁,http://A/ku9/js/cqyx.js?id=tongliangzongheHD$重庆有线JS
重庆潼南,http://A/ku9/js/cqyx.js?id=TNZH$重庆有线JS
重庆永川,http://A/ku9/js/cqyx.js?id=YCZH$重庆有线JS
重庆云阳,http://A/ku9/js/cqyx.js?id=jiangjinHD$重庆有线JS
重庆长寿,http://A/ku9/js/cqyx.js?id=changshou$重庆有线JS
重庆巫溪,http://A/ku9/js/cqyx.js?id=wlzh$重庆有线JS
江苏卫视,http://A/ku9/js/cqyx.js?id=jiangsuHD$重庆有线JS
北京卫视,http://A/ku9/js/cqyx.js?id=beijingHD$重庆有线JS
浙江卫视,http://A/ku9/js/cqyx.js?id=zhejiangHD$重庆有线JS
东方卫视,http://A/ku9/js/cqyx.js?id=shanghaiHD$重庆有线JS
深圳卫视,http://A/ku9/js/cqyx.js?id=shenzhenHD$重庆有线JS
辽宁卫视,http://A/ku9/js/cqyx.js?id=liaoningHD$重庆有线JS
天津卫视,http://A/ku9/js/cqyx.js?id=tianjinHD$重庆有线JS
贵州卫视,http://A/ku9/js/cqyx.js?id=guizhouHD$重庆有线JS
四川卫视,http://A/ku9/js/cqyx.js?id=sichuanHD$重庆有线JS
云南卫视,http://A/ku9/js/cqyx.js?id=yunnanSD$重庆有线JS
东南卫视,http://A/ku9/js/cqyx.js?id=dongnanHD$重庆有线JS
黑龙江卫视,http://A/ku9/js/cqyx.js?id=heilongjiangHD$重庆有线JS
安徽卫视,http://A/ku9/js/cqyx.js?id=anhuiSD$重庆有线JS
河北卫视,http://A/ku9/js/cqyx.js?id=hebeiSD$重庆有线JS
江西卫视,http://A/ku9/js/cqyx.js?id=jiangxiHD$重庆有线JS
湖北卫视,http://A/ku9/js/cqyx.js?id=hubeiSD$重庆有线JS
海南卫视,http://A/ku9/js/cqyx.js?id=hainanSD$重庆有线JS
吉林卫视,http://A/ku9/js/cqyx.js?id=jilinHD$重庆有线JS
广西卫视,http://A/ku9/js/cqyx.js?id=guangxiHD$重庆有线JS
内蒙古卫视,http://A/ku9/js/cqyx.js?id=neimengkuSD$重庆有线JS
湖南卫视,http://A/ku9/js/cqyx.js?id=hunanHD$重庆有线JS
广东卫视,http://A/ku9/js/cqyx.js?id=guangdongHD$重庆有线JS
河南卫视,http://A/ku9/js/cqyx.js?id=henanHD$重庆有线JS
山西卫视,http://A/ku9/js/cqyx.js?id=shanxiSD$重庆有线JS
兵团卫视,http://A/ku9/js/cqyx.js?id=bingtuanSD$重庆有线JS
宁夏卫视,http://A/ku9/js/cqyx.js?id=ningxia$重庆有线JS
北京卡酷少儿,http://A/ku9/js/cqyx.js?id=bjkakuSD$重庆有线JS
金鹰卡通,http://A/ku9/js/cqyx.js?id=jinyingSD$重庆有线JS
三沙卫视,http://A/ku9/js/cqyx.js?id=sanshaSD$重庆有线JS
青海卫视,http://A/ku9/js/cqyx.js?id=qinghaiSD$重庆有线JS
中国天气,http://A/ku9/js/cqyx.js?id=tianqiSD$重庆有线JS
北京纪实科教,http://A/ku9/js/cqyx.js?id=bjayjsSD$重庆有线JS
山东教育卫视,http://A/ku9/js/cqyx.js?id=sdjiaoyuSD$重庆有线JS
新疆卫视,http://A/ku9/js/cqyx.js?id=xinjiangSD$重庆有线JS
西藏卫视,http://A/ku9/js/cqyx.js?id=xizangSD$重庆有线JS
CGTN,http://A/ku9/js/cqyx.js?id=cgtnSD$重庆有线JS
CETV-1,http://A/ku9/js/cqyx.js?id=cetv-1SD$重庆有线JS
CETV-4,http://A/ku9/js/cqyx.js?id=cetv-4SD$重庆有线JS
生活时尚,http://A/ku9/js/cqyx.js?id=shenghuo$重庆有线JS
快乐垂钓,http://A/ku9/js/cqyx.js?id=klcdHD$重庆有线JS
游戏风云,http://A/ku9/js/cqyx.js?id=yxfyHD$重庆有线JS
都市剧场,http://A/ku9/js/cqyx.js?id=dsjcHD$重庆有线JS
动漫秀场,http://A/ku9/js/cqyx.js?id=dmxcHD$重庆有线JS
魅力足球,http://A/ku9/js/cqyx.js?id=mlzqHD$重庆有线JS
法治天地,http://A/ku9/js/cqyx.js?id=fazhi$重庆有线JS
金色学堂,http://A/ku9/js/cqyx.js?id=jinse$重庆有线JS
CCTV第一剧场,http://A/ku9/js/cqyx.js?id=diyijuchangHD$重庆有线JS
CCTV风云剧场,http://A/ku9/js/cqyx.js?id=fyjcHD$重庆有线JS
CCTV兵器科技,http://A/ku9/js/cqyx.js?id=bqkjHD$重庆有线JS
CCTV怀旧剧场,http://A/ku9/js/cqyx.js?id=hjjcHD$重庆有线JS
CCTV风云音乐,http://A/ku9/js/cqyx.js?id=fyyyHD$重庆有线JS
CCTV央视台球,http://A/ku9/js/cqyx.js?id=ystqHD$重庆有线JS
CCTV风云足球,http://A/ku9/js/cqyx.js?id=fyzqHD$重庆有线JS
CCTV央视文化精品,http://A/ku9/js/cqyx.js?id=yswhHD$重庆有线JS
CCTV高尔夫网球,http://A/ku9/js/cqyx.js?id=golfHD$重庆有线JS
CCTV女性时尚,http://A/ku9/js/cqyx.js?id=nvxing$重庆有线JS
求索纪录,http://A/ku9/js/cqyx.js?id=qsjlHD$重庆有线JS
早期教育,http://A/ku9/js/cqyx.js?id=zaojiaoHD$重庆有线JS
东方财经,http://A/ku9/js/cqyx.js?id=dfcj$重庆有线JS
书画,http://A/ku9/js/cqyx.js?id=shuhua$重庆有线JS
国学,http://A/ku9/js/cqyx.js?id=guoxue$重庆有线JS
优优宝贝,http://A/ku9/js/cqyx.js?id=youxi$重庆有线JS
中华特产,http://A/ku9/js/cqyx.js?id=techan$重庆有线JS
环球奇观,http://A/ku9/js/cqyx.js?id=car$重庆有线JS
生态环境,http://A/ku9/js/cqyx.js?id=shengtai$重庆有线JS
四海钓鱼,http://A/ku9/js/cqyx.js?id=diaoyu$重庆有线JS
